frameCount	 n	 frameCond	 stimPosition	 experimentTime	 experimentInterval	 frameT	 interval
115	 115	 2	 376.0	 4.63979816437	 0.0400121212006	 4.64	 0.04
116	 116	 2	 365.0	 4.67978811264	 0.0399899482727	 4.68	 0.04
117	 117	 2	 365.0	 4.71975803375	 0.0399699211121	 4.72	 0.04
118	 118	 2	 353.0	 4.75978899002	 0.0400309562683	 4.76	 0.04
119	 119	 2	 353.0	 4.79977011681	 0.0399811267853	 4.8	 0.04
120	 120	 2	 342.0	 4.83979201317	 0.0400218963623	 4.84	 0.04
121	 121	 2	 342.0	 4.87984204292	 0.0400500297546	 4.88	 0.04
122	 122	 2	 331.0	 4.91979598999	 0.0399539470673	 4.92	 0.04
123	 123	 2	 331.0	 4.95981311798	 0.0400171279907	 4.96	 0.04
124	 124	 2	 319.0	 4.99978113174	 0.0399680137634	 5.0	 0.04
125	 125	 2	 319.0	 5.03976607323	 0.0399849414825	 5.04	 0.04
126	 126	 2	 308.0	 5.07979202271	 0.0400259494781	 5.08	 0.04
127	 127	 2	 308.0	 5.11978602409	 0.0399940013885	 5.12	 0.04
128	 128	 2	 297.0	 5.15978002548	 0.0399940013885	 5.16	 0.04
129	 129	 2	 297.0	 5.19976305962	 0.0399830341339	 5.2	 0.04
130	 130	 2	 286.0	 5.2397840023	 0.040020942688	 5.24	 0.04
131	 131	 2	 286.0	 5.27976918221	 0.0399851799011	 5.28	 0.04
132	 132	 2	 274.0	 5.31977200508	 0.040002822876	 5.32	 0.04
133	 133	 2	 274.0	 5.35978507996	 0.0400130748749	 5.36	 0.04
134	 134	 2	 263.0	 5.39977097511	 0.0399858951569	 5.4	 0.04
135	 135	 2	 263.0	 5.43976902962	 0.0399980545044	 5.44	 0.04
136	 136	 2	 252.0	 5.47975897789	 0.0399899482727	 5.48	 0.04
137	 137	 2	 252.0	 5.51975703239	 0.0399980545044	 5.52	 0.04
138	 138	 2	 241.0	 5.55977797508	 0.040020942688	 5.56	 0.04
139	 139	 2	 241.0	 5.59977698326	 0.0399990081787	 5.6	 0.04
140	 140	 2	 229.0	 5.63977718353	 0.0400002002716	 5.64	 0.04
141	 141	 2	 229.0	 5.67976117134	 0.0399839878082	 5.68	 0.04
142	 142	 2	 218.0	 5.71976399422	 0.040002822876	 5.72	 0.04
143	 143	 2	 218.0	 5.75976896286	 0.0400049686432	 5.76	 0.04
144	 144	 2	 207.0	 5.79976606369	 0.0399971008301	 5.8	 0.04
145	 145	 2	 207.0	 5.83977913857	 0.0400130748749	 5.84	 0.04
146	 146	 2	 195.0	 5.87977099419	 0.0399918556213	 5.88	 0.04
147	 147	 2	 195.0	 5.91975212097	 0.0399811267853	 5.92	 0.04
148	 148	 2	 184.0	 5.9597890377	 0.0400369167328	 5.96	 0.04
149	 149	 2	 184.0	 5.99977016449	 0.0399811267853	 6.0	 0.04
150	 150	 2	 173.0	 6.03978013992	 0.0400099754333	 6.04	 0.04
151	 151	 2	 173.0	 6.07977604866	 0.0399959087372	 6.08	 0.04
152	 152	 2	 162.0	 6.11976599693	 0.0399899482727	 6.12	 0.04
153	 153	 2	 162.0	 6.15976500511	 0.0399990081787	 6.16	 0.04
154	 154	 2	 150.0	 6.1997590065	 0.0399940013885	 6.2	 0.04
155	 155	 2	 150.0	 6.23978614807	 0.040027141571	 6.24	 0.04
156	 156	 2	 139.0	 6.27978897095	 0.040002822876	 6.28	 0.04
157	 157	 2	 139.0	 6.31979799271	 0.040009021759	 6.32	 0.04
158	 158	 2	 128.0	 6.3598921299	 0.0400941371918	 6.36	 0.04
159	 159	 2	 128.0	 6.39978098869	 0.0398888587952	 6.4	 0.04
160	 160	 2	 117.0	 6.43983006477	 0.0400490760803	 6.44	 0.04
161	 161	 2	 117.0	 6.47977900505	 0.0399489402771	 6.48	 0.04
162	 162	 2	 105.0	 6.51979017258	 0.0400111675262	 6.52	 0.04
163	 163	 2	 105.0	 6.55980300903	 0.0400128364563	 6.56	 0.04
164	 164	 2	 94.0	 6.59977602959	 0.0399730205536	 6.6	 0.04
165	 165	 2	 94.0	 6.63977217674	 0.0399961471558	 6.64	 0.04
166	 166	 2	 83.0	 6.67978310585	 0.0400109291077	 6.68	 0.04
167	 167	 2	 83.0	 6.7197701931	 0.0399870872498	 6.72	 0.04
168	 168	 2	 71.0	 6.75979614258	 0.0400259494781	 6.76	 0.04
169	 169	 2	 71.0	 6.79977011681	 0.0399739742279	 6.8	 0.04
170	 170	 2	 60.0	 6.83977103233	 0.0400009155273	 6.84	 0.04
171	 171	 2	 60.0	 6.87975811958	 0.0399870872498	 6.88	 0.04
172	 172	 2	 49.0	 6.91974616051	 0.0399880409241	 6.92	 0.04
173	 173	 2	 49.0	 6.95973205566	 0.0399858951569	 6.96	 0.04
174	 174	 2	 37.0	 6.99974703789	 0.0400149822235	 7.0	 0.04
175	 175	 2	 37.0	 7.03973817825	 0.0399911403656	 7.04	 0.04
176	 176	 2	 26.0	 7.07975006104	 0.040011882782	 7.08	 0.04
177	 177	 2	 26.0	 7.11973714828	 0.0399870872498	 7.12	 0.04
178	 178	 2	 15.0	 7.15974998474	 0.0400128364563	 7.16	 0.04
179	 179	 2	 15.0	 7.19972300529	 0.0399730205536	 7.2	 0.04
180	 180	 2	 4.0	 7.23975014687	 0.040027141571	 7.24	 0.04
181	 181	 2	 4.0	 7.27979898453	 0.0400488376617	 7.28	 0.04
182	 182	 2	 -8.0	 7.31974411011	 0.0399451255798	 7.32	 0.04
183	 183	 2	 -8.0	 7.35974097252	 0.0399968624115	 7.36	 0.04
184	 184	 2	 -19.0	 7.39974403381	 0.0400030612946	 7.4	 0.04
185	 185	 2	 -19.0	 7.43973016739	 0.0399861335754	 7.44	 0.04
186	 186	 2	 -30.0	 7.47974610329	 0.0400159358978	 7.48	 0.04
187	 187	 2	 -30.0	 7.51974511147	 0.0399990081787	 7.52	 0.04
188	 188	 2	 -41.0	 7.55974912643	 0.0400040149689	 7.56	 0.04
189	 189	 2	 -41.0	 7.59973096848	 0.039981842041	 7.6	 0.04
190	 190	 2	 -53.0	 7.63973617554	 0.0400052070618	 7.64	 0.04
191	 191	 2	 -53.0	 7.67973613739	 0.039999961853	 7.68	 0.04
192	 192	 2	 1020.0	 7.71973514557	 0.0399990081787	 7.72	 0.04
193	 193	 2	 1020.0	 7.75974202156	 0.0400068759918	 7.76	 0.04
194	 194	 2	 1009.0	 7.79974603653	 0.0400040149689	 7.8	 0.04
195	 195	 2	 1009.0	 7.83972811699	 0.0399820804596	 7.84	 0.04
196	 196	 2	 998.0	 7.87976002693	 0.0400319099426	 7.88	 0.04
197	 197	 2	 998.0	 7.91971898079	 0.0399589538574	 7.92	 0.04
198	 198	 2	 986.0	 7.9597401619	 0.0400211811066	 7.96	 0.04
199	 199	 2	 986.0	 7.99973201752	 0.0399918556213	 8.0	 0.04
200	 200	 2	 975.0	 8.03972315788	 0.0399911403656	 8.04	 0.04
201	 201	 2	 975.0	 8.07973313332	 0.0400099754333	 8.08	 0.04
202	 202	 2	 964.0	 8.11971998215	 0.0399868488312	 8.12	 0.04
203	 203	 2	 964.0	 8.15972518921	 0.0400052070618	 8.16	 0.04
